Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Clinton,Sanders,Biden,Chafee,Lessig,O'Malley,Webb,Undecided,Pollster URL,Source URL,Partisan,Affiliation
FOX,2015-12-16,2015-12-17,2015-12-18 23:04:23 UTC,390,Likely Voters - Democrat,Live Phone,56,34,,,,2,,4,http://elections.huffingtonpost.com/pollster/polls/fox-23385,http://www.foxnews.com/politics/interactive/2015/12/18/fox-news-poll-2016-gop-race-trump-muslim-ban-terrorism-isis/,Nonpartisan,None
PPP (D),2015-12-16,2015-12-17,2015-12-18 19:53:22 UTC,525,Likely Voters - Democrat,IVR/Online,56,28,,,,9,,7,http://elections.huffingtonpost.com/pollster/polls/ppp-d-23381,http://www.publicpolicypolling.com/main/2015/12/trump-leads-grows-nationally-41-of-his-voters-want-to-bomb-country-from-aladdin-clinton-maintains-bi.html#more,Pollster,Dem
Ipsos/Reuters,2015-12-12,2015-12-16,2015-12-17 18:34:40 UTC,765,Adults - Democrat,Internet,58,29,,,,3,,10,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23361,http://ipsos-na.com/download/pr.aspx?id=15168,Nonpartisan,None
Morning Consult,2015-12-11,2015-12-15,2015-12-15 20:45:27 UTC,1790,Registered Voters - Democrat,Internet,52,27,,,,2,,12,http://elections.huffingtonpost.com/pollster/polls/morning-consult-23333,http://morningconsult.com/wp-content/uploads/2015/12/151203_topline_trend_v2_TS.pdf?utm_source=hs_email&utm_medium=email&utm_content=24620275&_hsenc=p2ANqtz-9FS5yYUXPUx8AgoTanLz5Hv07FfMvEZ4CXeM39WCEXchxulffgA8QjhYV4IkgyKQzFUOTlSQ0rWe2RATcIvqg0jJ3Pg6ztvBuj,Nonpartisan,None
ABC/Post,2015-12-10,2015-12-13,2015-12-18 12:17:41 UTC,377,Registered Voters - Democrat,Live Phone,59,28,,,,5,,8,http://elections.huffingtonpost.com/pollster/polls/abc-post-23378,http://apps.washingtonpost.com/g/page/politics/washington-post-abc-news-poll-dec-10-13-2015/1914/,Nonpartisan,None
Monmouth University,2015-12-10,2015-12-13,2015-12-16 16:37:42 UTC,374,Registered Voters - Democrat,Live Phone,59,26,,,,4,,11,http://elections.huffingtonpost.com/pollster/polls/monmouth-university-23335,http://www.monmouth.edu/assets/0/32212254770/32212254991/32212254992/32212254994/32212254995/30064771087/886fdcf9-30c4-4b42-bf69-7abb6729418b.pdf,Nonpartisan,None
NBC/WSJ,2015-12-06,2015-12-09,2015-12-14 13:45:41 UTC,400,Likely Voters - Democrat,Live Phone,56,37,,,,4,,3,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-23315,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/15564%20NBCWSJ%20December%20Poll%20(AM%2012-14-15%20Release).pdf,Nonpartisan,None
Ipsos/Reuters,2015-12-05,2015-12-09,2015-12-10 16:16:52 UTC,573,Adults - Democrat,Internet,56,30,,,,5,,9,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23297,http://ipsos-na.com/download/pr.aspx?id=15156,Nonpartisan,None
YouGov/Economist,2015-12-04,2015-12-09,2015-12-10 20:02:45 UTC,647,Likely Voters - Democrat,Internet,56,35,,,,2,,5,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23301,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/hwgsf7db3f/econTabReport.pdf,Nonpartisan,None
Gravis Marketing/One America News,2015-12-07,2015-12-08,2015-12-10 19:44:46 UTC,731,Likely Voters - Democrat,Automated Phone,62,30,,,,9,,,http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-one-america-news-23300,http://www.oann.com/pollresults/,Sponsor,Rep
CBS/Times,2015-12-04,2015-12-08,2015-12-10 13:16:24 UTC,384,Likely Voters - Democrat,Live Phone,52,32,,,,2,,9,http://elections.huffingtonpost.com/pollster/polls/cbs-times-23294,http://www.scribd.com/doc/292891756/CBS-News-New-York-Times-Poll-December-4-8-2015-Toplines,Nonpartisan,None
Morning Consult,2015-12-03,2015-12-07,2015-12-08 22:24:57 UTC,808,Registered Voters - Democrat,Internet,52,23,,,,2,,14,http://elections.huffingtonpost.com/pollster/polls/morning-consult-23281,http://morningconsult.com/wp-content/uploads/2015/12/151201_topline_trend_v3.pdf,Nonpartisan,None
Public Religion Research Institute,2015-12-02,2015-12-06,2015-12-10 16:08:19 UTC,463,Registered Voters - Democrat,Live Phone,52,31,,,,4,,13,http://elections.huffingtonpost.com/pollster/polls/public-religion-research-institute-23296,http://publicreligion.org/site/wp-content/uploads/2015/12/December-2015-PRRI-RNS-Topline1.pdf,Nonpartisan,None
Suffolk/USA Today,2015-12-02,2015-12-06,2015-12-08 20:23:37 UTC,363,Likely Voters - Democrat,Live Phone,56,29,,,,4,,11,http://elections.huffingtonpost.com/pollster/polls/suffolk-usa-today-23278,http://www.suffolk.edu/academics/10741.php,Nonpartisan,None
IBD/TIPP,2015-11-30,2015-12-04,2015-12-07 14:56:48 UTC,392,Registered Voters - Democrat,Live Phone,51,33,,,,1,,8,http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-23266,http://big.assets.huffingtonpost.com/ToplineIBDTIPPDec2015.pdf,Nonpartisan,None
Ipsos/Reuters,2015-11-28,2015-12-02,2015-12-03 17:32:37 UTC,430,Adults - Democrat,Internet,51,36,,,,4,,10,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23252,http://www.ipsos-na.com/download/pr.aspx?id=15124,Nonpartisan,None
CNN,2015-11-27,2015-12-01,2015-12-04 19:25:19 UTC,403,Registered Voters - Democrat,Live Phone,58,30,,,,2,,3,http://elections.huffingtonpost.com/pollster/polls/cnn-23260,http://www.cnn.com/2015/12/04/politics/full-results-poll-democrats-2016/index.html,Nonpartisan,None
Quinnipiac,2015-11-23,2015-11-30,2015-12-02 12:04:16 UTC,573,Registered Voters - Democrat,Live Phone,60,30,,,,2,,7,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23247,http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2307,Nonpartisan,None
Ipsos/Reuters,2015-11-21,2015-11-25,2015-11-25 20:56:33 UTC,362,Adults - Democrat,Internet,58,30,,,,6,,8,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23238,http://big.assets.huffingtonpost.com/2015ReutersTrackingCorePolitical112515.pdf,Nonpartisan,None
Gravis Marketing/One America News,2015-11-23,2015-11-23,2015-11-25 15:31:26 UTC,528,Likely Voters - Democrat,Automated Phone,59,32,,,,8,,,http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-one-america-news-23235,http://www.oann.com/pollnational/,Sponsor,Rep
YouGov/Economist,2015-11-19,2015-11-23,2015-11-25 14:14:12 UTC,764,Likely Voters - Democrat,Internet,54,34,,,,4,,5,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23233,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/o77ie8jgv3/econTabReport.pdf,Nonpartisan,None
ABC/Post,2015-11-16,2015-11-19,2015-11-22 15:06:26 UTC,352,Registered Voters - Democrat,Live Phone,60,34,,,,3,,2,http://elections.huffingtonpost.com/pollster/polls/abc-post-23206,http://apps.washingtonpost.com/g/page/politics/washington-post-abc-news-poll-nov-15-19-2015/1880/,Nonpartisan,None
FOX,2015-11-16,2015-11-19,2015-11-22 15:14:04 UTC,366,Likely Voters - Democrat,Live Phone,55,32,,,,3,,5,http://elections.huffingtonpost.com/pollster/polls/fox-23207,http://www.foxnews.com/politics/interactive/2015/11/20/fox-news-poll-2016-matchups-syrian-refugees/,Nonpartisan,None
Ipsos/Reuters,2015-11-14,2015-11-18,2015-11-19 18:29:31 UTC,1275,Adults - Democrat,Internet,52,31,,,,4,,13,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23182,http://ipsos-na.com/download/pr.aspx?id=15090,Nonpartisan,None
PPP (D),2015-11-16,2015-11-17,2015-11-19 15:02:32 UTC,538,Likely Voters - Democrat,IVR/Online,59,26,,,,7,,8,http://elections.huffingtonpost.com/pollster/polls/ppp-d-23174,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_111915.pdf,Pollster,Dem
Bloomberg/Selzer,2015-11-15,2015-11-17,2015-11-20 14:05:32 UTC,385,Registered Voters - Democrat,Live Phone,55,30,,,,3,,8,http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-23194,http://www.scribd.com/doc/290424533/Bloomberg-Politics-national-poll-Nov-20-2015,Nonpartisan,None
NBC/SurveyMonkey,2015-11-15,2015-11-17,2015-11-20 14:17:19 UTC,1983,Registered Voters - Democrat,Internet,49,33,,,,1,,11,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-23196,http://www.nbcnews.com/politics/2016-election/poll-hillary-clinton-holds-steady-support-among-democrats-n466641,Nonpartisan,None
Morning Consult,2015-11-13,2015-11-16,2015-11-17 15:45:58 UTC,874,Registered Voters - Democrat,Internet,57,26,,,,2,,9,http://elections.huffingtonpost.com/pollster/polls/morning-consult-23158,http://morningconsult.com/wp-content/uploads/2015/11/MC-Tracking-Poll-Toplines-November-13-16-2015.pdf,Nonpartisan,None
Ipsos/Reuters,2015-11-07,2015-11-11,2015-11-17 21:36:06 UTC,609,Adults - Democrat,Internet,51,35,,,,3,,10,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23166,http://www.ipsos-na.com/download/pr.aspx?id=15085,Nonpartisan,None
CBS/Times,2015-11-06,2015-11-10,2015-11-12 14:44:59 UTC,418,Likely Voters - Democrat,Live Phone,52,33,,,,5,,,http://elections.huffingtonpost.com/pollster/polls/cbs-times-23120,http://www.nytimes.com/politics/first-draft/2015/11/12/poll-shows-hillary-clinton-maintaining-lead-over-sanders/,Nonpartisan,None
Public Religion Research Institute,2015-11-06,2015-11-10,2015-11-23 16:21:55 UTC,145,Likely Voters - Democrat,Live Phone,62,29,,,,2,,5,http://elections.huffingtonpost.com/pollster/polls/public-religion-research-institute-23214,http://big.assets.huffingtonpost.com/AVS-2015-Election-Supplement-Topline.pdf,Nonpartisan,None
YouGov/Economist,2015-11-05,2015-11-09,2015-11-10 19:09:31 UTC,658,Registered Voters - Democrat,Internet,59,31,,,0,2,,6,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23108,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/1hhz66took/econToplines.pdf,Nonpartisan,None
Morning Consult,2015-11-05,2015-11-08,2015-11-10 17:55:28 UTC,1739,Registered Voters - Democrat,Internet,54,28,,,,3,,8,http://elections.huffingtonpost.com/pollster/polls/morning-consult-23107,http://big.assets.huffingtonpost.com/151102toplinesmorningconsult.pdf,Nonpartisan,None
Ipsos/Reuters,2015-10-31,2015-11-04,2015-11-05 18:36:49 UTC,629,Adults - Democrat,Internet,57,28,,,,6,,9,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23076,http://www.ipsos-na.com/download/pr.aspx?id=15026,Nonpartisan,None
McClatchy/Marist,2015-10-29,2015-11-04,2015-11-13 21:32:48 UTC,511,Registered Voters - Democrat,Live Phone,57,35,,,,4,,4,http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-23138,http://maristpoll.marist.edu/wp-content/misc/usapolls/us151029/DEMS_2016/McClatchy_Marist%20Poll_DEM%20Primary%202016_Survey%20Findings_Nature%20of%20the%20Sample%20and%20Tables_November%202015.pdf,Nonpartisan,None
FOX,2015-11-01,2015-11-03,2015-11-04 23:23:33 UTC,505,Likely Voters - Democrat,Live Phone,56,31,,,,2,,4,http://elections.huffingtonpost.com/pollster/polls/fox-23061,http://www.foxnews.com/politics/interactive/2015/10/13/fox-news-poll-biden-more-electable-than-clinton/,Nonpartisan,None
USC/LA Times/SurveyMonkey,2015-10-29,2015-11-03,2015-11-09 16:34:14 UTC,1242,Registered Voters - Democrat,Internet,48,28,,,1,2,,19,http://elections.huffingtonpost.com/pollster/polls/usc-la-times-surveymonkey-23085,http://dornsife.usc.edu/usc-dornsife-los-angeles-times-poll/,Nonpartisan,None
Quinnipiac,2015-10-29,2015-11-02,2015-11-04 16:23:42 UTC,480,Registered Voters - Democrat,Live Phone,53,35,,,1,0,,11,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23059,http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2299,Nonpartisan,None
Morning Consult,2015-10-29,2015-11-01,2015-11-03 20:26:04 UTC,1015,Registered Voters - Democrat,Internet,56,26,,,,2,,10,http://elections.huffingtonpost.com/pollster/polls/morning-consult-23056,http://morningconsult.com/polls/new-poll-jeb-bushs-popularity-problem-trump-down-for-second-consecutive-week/,Nonpartisan,None
NBC/SurveyMonkey,2015-10-27,2015-10-29,2015-10-30 17:13:59 UTC,1226,Registered Voters - Democrat,Internet,50,30,,,1,1,,12,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-23030,http://www.scribd.com/doc/287908155/Toplines-Questions-1,Nonpartisan,None
NBC/WSJ,2015-10-25,2015-10-29,2015-11-03 16:49:49 UTC,400,Likely Voters - Democrat,Live Phone,62,31,,,,3,,3,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-23052,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/15463%20NBCWSJ%20Late%20October%20Poll%2011-3-15%20Release.pdf,Nonpartisan,None
IBD/TIPP,2015-10-24,2015-10-29,2015-10-31 23:04:27 UTC,356,Registered Voters - Democrat,Live Phone,48,33,,,,2,,,http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-23039,http://news.investors.com/ibd-editorials-polls/103015-778378-donald-trump-leads-ben-carson-second-in-ibd-tipp-poll.htm,Nonpartisan,None
Ipsos/Reuters,2015-10-24,2015-10-28,2015-10-29 16:44:01 UTC,676,Adults - Democrat,Internet,53,33,,,,2,,12,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23026,http://www.ipsos-na.com/download/pr.aspx?id=15018,Nonpartisan,None
YouGov/Economist,2015-10-23,2015-10-27,2015-10-28 18:21:17 UTC,654,Registered Voters - Democrat,Internet,61,29,,,1,2,,6,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23013,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/uobybjo8zg/econToplines.pdf,Nonpartisan,None
Gravis Marketing/One America News,2015-10-26,2015-10-26,2015-10-27 22:23:40 UTC,1037,Registered Voters - Democrat,Automated Phone,58,16,,,,3,,24,http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-one-america-news-23005,http://www.oann.com/pollnational/,Sponsor,Rep
Morning Consult,2015-10-22,2015-10-25,2015-10-26 21:12:38 UTC,688,Registered Voters - Democrat,Internet,53,26,,,,5,,10,http://elections.huffingtonpost.com/pollster/polls/morning-consult-22994,http://morningconsult.com/wp-content/uploads/2015/10/151006_topline_trend_v2_AP.pdf,Nonpartisan,None
Ipsos/Reuters,2015-10-17,2015-10-21,2015-10-23 17:26:32 UTC,873,Adults - Democrat,Internet,45,29,16,1,,1,,9,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22974,http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=7015,Nonpartisan,None
Morning Consult,2015-10-15,2015-10-19,2015-10-20 17:31:31 UTC,895,Registered Voters - Democrat,Internet,56,24,,1,,1,1,12,http://elections.huffingtonpost.com/pollster/polls/morning-consult-22950,http://morningconsult.com/wp-content/uploads/2015/10/151005_topline_trend_v2_TS.pdf,Nonpartisan,None
ABC/Post,2015-10-15,2015-10-18,2015-10-20 14:01:48 UTC,444,Registered Voters - Democrat,Live Phone,54,23,16,0,,1,1,5,http://elections.huffingtonpost.com/pollster/polls/abc-post-22942,http://apps.washingtonpost.com/g/page/politics/washington-post-abc-news-poll-oct-15-18-2015/1852/,Nonpartisan,None
Monmouth University,2015-10-15,2015-10-18,2015-10-19 16:48:54 UTC,340,Registered Voters - Democrat,Live Phone,48,21,17,0,1,1,1,12,http://elections.huffingtonpost.com/pollster/polls/monmouth-university-22939,http://www.monmouth.edu/assets/0/32212254770/32212254991/32212254992/32212254994/32212254995/30064771087/4f03d197-5cae-42a6-b47a-0c1a4aeb7b6f.pdf,Nonpartisan,None
NBC/WSJ,2015-10-15,2015-10-18,2015-10-20 13:55:51 UTC,400,Likely Voters - Democrat,Live Phone,49,29,15,0,,1,2,4,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-22941,http://www.scribd.com/doc/286132150/15462-NBCWSJ-Oct-Poll-Final,Nonpartisan,None
Emerson College Polling Society,2015-10-16,2015-10-17,2015-10-20 18:55:01 UTC,390,Likely Voters - Democrat,Automated Phone,68,20,,0,,3,1,6,http://elections.huffingtonpost.com/pollster/polls/emerson-college-polling-society-22951,http://big.assets.huffingtonpost.com/ECPS_POTUS_10.19.pdf,Nonpartisan,None
CNN,2015-10-14,2015-10-17,2015-10-19 13:51:22 UTC,425,Registered Voters - Democrat,Live Phone,45,29,18,0,0,0,1,5,http://elections.huffingtonpost.com/pollster/polls/cnn-22934,http://www.cnn.com/2015/10/19/politics/cnn-orc-poll-hillary-clinton-bernie-sanders-democratic-debate/index.html,Nonpartisan,None
NBC/SurveyMonkey,2015-10-13,2015-10-15,2015-10-16 20:53:14 UTC,1857,Registered Voters - Democrat,Internet,45,31,10,0,0,1,1,9,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-22931,http://www.scribd.com/doc/285396771/NBC-SurveyMonkey-ToplinesMethod10-15,Nonpartisan,None
Ipsos/Reuters,2015-10-10,2015-10-14,2015-10-16 21:05:43 UTC,530,Adults - Democrat,Internet,51,24,16,1,,2,,6,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22933,http://ipsos-na.com/news-polls/pressrelease.aspx?id=7027,Nonpartisan,None
FOX,2015-10-10,2015-10-12,2015-10-13 16:22:25 UTC,353,Likely Voters - Democrat,Live Phone,45,25,19,0,0,1,0,5,http://elections.huffingtonpost.com/pollster/polls/fox-22904,http://www.foxnews.com/politics/interactive/2015/10/13/fox-news-poll-biden-more-electable-than-clinton/,Nonpartisan,None
Morning Consult,2015-10-08,2015-10-12,2015-10-13 15:48:47 UTC,826,Registered Voters - Democrat,Internet,54,22,,1,,1,1,15,http://elections.huffingtonpost.com/pollster/polls/morning-consult-22902,http://morningconsult.com/2015/10/ahead-of-debate-clinton-lead-grows/,Nonpartisan,None
YouGov/Economist,2015-10-08,2015-10-12,2015-10-14 21:28:25 UTC,633,Registered Voters - Democrat,Internet,48,23,20,1,1,2,0,6,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22919,https://today.yougov.com/news/2015/10/14/whats-happened-jeb-bush/,Nonpartisan,None
CBS,2015-10-04,2015-10-08,2015-10-12 15:48:21 UTC,311,Registered Voters - Democrat,Live Phone,46,27,16,0,0,0,2,5,http://elections.huffingtonpost.com/pollster/polls/cbs-22888,http://www.scribd.com/doc/284425884/CBS-News-poll-2016-Democratic-presidential-campaign,Nonpartisan,None
Ipsos/Reuters,2015-10-03,2015-10-07,2015-10-08 14:41:05 UTC,640,Adults - Democrat,Internet,44,27,18,1,,2,,8,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22871,http://ipsos-na.com/download/pr.aspx?id=14945,Nonpartisan,None
Morning Consult,2015-10-02,2015-10-05,2015-10-06 21:34:11 UTC,827,Registered Voters - Democrat,Internet,48,27,,2,,1,1,13,http://elections.huffingtonpost.com/pollster/polls/morning-consult-22858,http://morningconsult.com/wp-content/uploads/2015/10/151001_topline_trend_v1_AP.pdf,Nonpartisan,None
Fairleigh Dickinson,2015-10-01,2015-10-05,2015-10-08 22:22:35 UTC,339,Registered Voters - Democrat,Live Phone,45,23,17,0,0,1,1,10,http://elections.huffingtonpost.com/pollster/polls/fairleigh-dickinson-22878,http://view2.fdu.edu/publicmind/2015/151008/,Nonpartisan,None
PPP (D),2015-10-01,2015-10-04,2015-10-06 15:30:32 UTC,551,Likely Voters - Democrat,IVR/Online,42,24,20,1,0,1,2,9,http://elections.huffingtonpost.com/pollster/polls/ppp-d-22854,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_NationalDems_100615.pdf,Pollster,Dem
Public Religion Research Institute,2015-09-11,2015-10-04,2015-11-23 17:38:53 UTC,388,Likely Voters - Democrat,Live Phone,55,17,23,,,0,1,2,http://elections.huffingtonpost.com/pollster/polls/public-religion-research-institute-23215,http://big.assets.huffingtonpost.com/American-Values-Survey-2015-Topline1.pdf,Nonpartisan,None
Gravis Marketing/One America News,2015-09-30,2015-10-01,2015-10-07 17:07:13 UTC,1021,Likely Voters - Democrat,Automated Phone,44,25,23,2,,2,3,,http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-one-america-news-22863,http://www.prnewswire.com/news-releases/trump-dominates-one-america-news-networks-national-poll-300153522.html,Sponsor,Rep
IBD/TIPP,2015-09-26,2015-10-01,2015-10-05 15:55:07 UTC,344,Registered Voters - Democrat,Live Phone,42,18,22,,,,,,http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-22844,http://news.investors.com/ibd-editorials-polls/100215-773897-donald-trump-trails-ben-carson-in-ibd-tipp-poll.htm?ref=HPLNewshttp://news.investors.com/ibd-editorials-polls/100215-773897-donald-trump-trails-ben-carson-in-ibd-tipp-poll.htm?ref=HPLNews,Nonpartisan,None
Ipsos/Reuters,2015-09-26,2015-09-30,2015-10-02 16:48:00 UTC,511,Adults - Democrat,Internet,46,25,19,1,,1,0,6,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22834,http://ipsos-na.com/download/pr.aspx?id=14934,Nonpartisan,None
YouGov/Economist,2015-09-25,2015-09-29,2015-10-01 18:09:28 UTC,636,Registered Voters - Democrat,Internet,48,25,20,0,,2,1,5,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22830,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/8w1iq3dtp2/econToplines.pdf,Nonpartisan,None
Suffolk/USA Today,2015-09-24,2015-09-28,2015-09-30 16:27:03 UTC,430,Likely Voters - Democrat,Live Phone,41,23,20,1,0,0,0,14,http://elections.huffingtonpost.com/pollster/polls/suffolk-usa-today-22822,http://www.suffolk.edu/documents/SUPRC/10_1_2015_complete_marginals.pdf,Nonpartisan,None
Morning Consult,2015-09-24,2015-09-27,2015-09-29 19:40:45 UTC,643,Registered Voters - Democrat,Internet,44,23,19,0,,0,1,9,http://elections.huffingtonpost.com/pollster/polls/morning-consult-22813,http://morningconsult.com/2015/09/poll-biden-broadly-favorable-but-clinton-still-leads/,Nonpartisan,None
NBC/WSJ,2015-09-20,2015-09-24,2015-09-28 15:55:22 UTC,256,Likely Voters - Democrat,Live Phone,42,35,17,0,,0,1,5,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-22803,http://www.nbcnews.com/meet-the-press/nbc-wsj-poll-2016-gop-race-n433991,Nonpartisan,None
Ipsos/Reuters,2015-09-19,2015-09-23,2015-09-25 21:18:59 UTC,608,Adults - Democrat,Internet,40,30,15,0,,2,0,10,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22797,http://www.ipsos-na.com/download/pr.aspx?id=14901,Nonpartisan,None
FOX,2015-09-20,2015-09-22,2015-09-24 22:22:11 UTC,381,Likely Voters - Democrat,Live Phone,44,30,18,0,,2,1,3,http://elections.huffingtonpost.com/pollster/polls/fox-22789,http://www.foxnews.com/politics/interactive/2015/09/24/fox-news-poll-voters-believe-iran-deal-to-make-us-less-safe-obama-job-approval/,Nonpartisan,None
Bloomberg/Selzer,2015-09-18,2015-09-21,2015-09-23 20:05:17 UTC,375,Registered Voters - Democrat,Live Phone,33,24,25,0,,1,2,7,http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-22782,http://images.businessweek.com/cms/2015-09-22/150923_wednesday_2121165.pdf,Nonpartisan,None
Quinnipiac,2015-09-17,2015-09-21,2015-09-24 22:15:01 UTC,587,Registered Voters - Democrat,Live Phone,43,25,18,0,0,0,0,12,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22788,http://www.quinnipiac.edu/images/polling/us/us09242015_ui47mfb.pdf,Nonpartisan,None
Morning Consult,2015-09-18,2015-09-20,2015-09-22 17:53:47 UTC,1761,Registered Voters - Democrat,Internet,49,28,,1,,2,1,13,http://elections.huffingtonpost.com/pollster/polls/morning-consult-22771,http://morningconsult.com/wp-content/uploads/2015/09/150907_topline_MERGED-trend_v2_KD.pdf,Nonpartisan,None
Zogby (Internet),2015-09-18,2015-09-19,2015-09-24 00:35:58 UTC,515,Likely Voters - Democrat,Internet,52,24,,,,3,2,19,http://elections.huffingtonpost.com/pollster/polls/zogby-internet-22785,http://www.zogbyanalytics.com/news/650-hillary-dominates-the-democratic-field-with-biden-in-or-out,Nonpartisan,None
CNN,2015-09-17,2015-09-19,2015-09-21 19:11:48 UTC,329,Registered Voters - Democrat,Live Phone,42,24,22,0,,1,0,6,http://elections.huffingtonpost.com/pollster/polls/cnn-22760,http://i2.cdn.turner.com/cnn/2015/images/09/20/dempoll.pdf,Nonpartisan,None
NBC/SurveyMonkey,2015-09-16,2015-09-18,2015-09-22 05:54:00 UTC,1774,Registered Voters - Democrat,Internet,41,29,15,0,0,1,1,9,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-22767,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/NBC-SM_ToplinesMethodDEMs9%2021%20(2).pdf,Nonpartisan,None
Ipsos/Reuters,2015-09-12,2015-09-16,2015-09-18 19:33:27 UTC,642,Adults - Democrat,Internet,46,25,18,0,,0,1,8,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22748,http://www.ipsos-na.com/download/pr.aspx?id=14883,Nonpartisan,None
YouGov/Economist,2015-09-11,2015-09-15,2015-09-18 04:06:51 UTC,651,Registered Voters - Democrat,Internet,45,26,19,1,,1,1,6,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22742,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/lq8iyjss0l/econToplines_v1.pdf,Nonpartisan,None
Morning Consult,2015-09-11,2015-09-13,2015-09-18 03:24:39 UTC,955,Registered Voters - Democrat,Internet,54,24,,0,,2,2,12,http://elections.huffingtonpost.com/pollster/polls/morning-consult-22738,http://morningconsult.com/wp-content/uploads/2015/09/150904_topline_trend_v1_JW.pdf,Nonpartisan,None
CBS/Times,2015-09-09,2015-09-13,2015-09-18 03:06:54 UTC,351,Likely Voters - Democrat,Live Phone,47,27,15,1,,0,1,7,http://elections.huffingtonpost.com/pollster/polls/cbs-times-22736,http://www.cbsnews.com/news/hillary-clintons-lead-over-bernie-sanders-cut-by-half-in-national-poll/,Nonpartisan,None
ABC/Post,2015-09-07,2015-09-10,2015-09-14 20:25:47 UTC,356,Registered Voters - Democrat,Live Phone,42,24,21,1,,2,1,9,http://elections.huffingtonpost.com/pollster/polls/abc-post-22723,http://www.washingtonpost.com/page/2010-2019/WashingtonPost/2015/09/14/National-Politics/Polling/release_409.xml?uuid=QelAQFqVEeWEdXgcyYUWUg,Nonpartisan,None
Ipsos/Reuters,2015-09-05,2015-09-09,2015-09-11 20:35:48 UTC,625,Adults - Democrat,Internet,42,28,14,1,,3,0,10,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22709,http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=6984,Nonpartisan,None
Emerson College Polling Society,2015-09-05,2015-09-08,2015-09-10 18:55:35 UTC,392,Likely Voters - Democrat,Automated Phone,48,21,21,,,1,1,7,http://elections.huffingtonpost.com/pollster/polls/emerson-college-polling-society-22699,http://media.wix.com/ugd/3bebb2_539dbddeed944868b6fc58b193873b4b.pdf,Nonpartisan,None
